node,betweenness,pagerank,in_degree,out_degree
IND148024AAB,0.0,0.00041251233469416287,1,0
IND148028AAA,0.0,0.00011885703607827519,0,2
IND148101AAA,0.0004053738488258389,0.0005843423665299756,1,1
IND148102AAA,0.0004031846111184086,0.0006157527761730309,1,1
IND151103AAA,0.0,0.0007650277965751328,1,1
IND151302AAA,0.0008103828247004393,0.00041349985721081666,1,1
IND151505AAA,0.000808193586993009,0.0004704648122298157,1,1
IND151506AAA,0.0008060043492855788,0.0005188872146982488,1,1
IND152024AAA,0.0004053738488258389,0.0004050672719752565,1,1
IND152123AAA,0.0004031846111184086,0.00046336060045395794,1,1
IND152101AAA,0.0,0.00023868189560452332,1,1
IND152107AAA,0.0,0.0005537056086904369,2,1
IND152116AAA,0.0,0.000342282022598646,1,2
IND140603AAA,0.0,0.0002872372051257551,1,0
IND160003AAA,0.0,0.0003600265490369053,1,1
IND160102AAC,0.0,0.00036967332955525054,1,1
IND173212AAA,0.0010116102573084053,0.00047417411461906083,2,4
IND174001AAA,0.002422391523271597,0.000605574976449739,2,1
IND174307AAA,0.0,0.000306066815427839,1,1
IND176041AAA,0.0,0.0005538155354882132,2,0
IND181152AAA,0.00020213961498606186,0.0006883317209496206,3,1
IND184104AAA,0.0010106980749303093,0.0005399559640748549,2,4
IND160102AAD,0.0,0.00011885703607827519,0,2
IND160002AAD,0.0,0.00016460037963848503,1,0
IND173220AAA,0.0,0.00022093147570280948,1,2
IND175018AAA,0.0024202022855641667,0.0006337724737930242,1,1
IND174021AAA,0.0,0.00011885703607827519,0,1
IND176048AAA,0.0004042792299721237,0.00021989453119478262,1,1
IND174101AAB,0.0,0.00011885703607827519,0,2
IND175001AAA,0.0024180130478567365,0.0006577565846328743,1,1
IND175101AAA,0.0024158238101493062,0.000678170163937082,1,1
IND175015AAA,0.0008078287140417707,0.0003057905596671737,1,1
IND176061AAA,0.00040391435702088536,0.00021989453119478262,1,1
IND176110AAB,0.0004042792299721237,0.00021989453119478262,1,1
IND177033AAA,0.0008078287140417707,0.0003057905596671737,1,1
IND176215AAA,0.0,0.00011885703607827519,0,1
IND176310AAA,1.0946188537151365e-06,0.000860471758773265,1,1
IND177001AAA,0.0,0.00011885703607827519,0,1
IND177101AAA,7.297459024767576e-07,0.00021989453119478262,1,2
